City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Saint-Philippe,RE,-21.3585,55.7679,69.35,74,27,13.38,scattered clouds
143,Chuy,UY,-33.6971,-53.4616,57.25,96,100,7.18,overcast clouds
144,Maniitsoq,GL,65.4167,-52.9,34.45,43,0,7.52,clear sky
145,Billings,US,45.7833,-108.5007,89.37,13,1,9.22,clear sky
146,Farafangana,MG,-22.8167,47.8333,68.79,84,43,2.75,scattered clouds
147,Norman Wells,CA,65.282,-126.8329,33.84,93,90,2.3,light snow
148,Tucuma,BR,-0.1833,-50.05,78.42,79,0,7.49,clear sky
149,Balikpapan,ID,-1.2675,116.8289,81.59,89,20,9.22,few clouds
150,Carballo,ES,43.213,-8.691,58.91,91,100,0.56,overcast clouds
151,Dingle,PH,10.9995,122.6711,83.16,77,100,3.49,overcast clouds
152,Cedar Mill,US,45.5248,-122.8109,60.75,89,90,1.99,overcast clouds
153,Ancud,CL,-41.8697,-73.8203,49.53,87,99,3.44,overcast clouds
154,Wasilla,US,61.5814,-149.4394,46.29,51,1,0.0,clear sky
155,Magadan,RU,59.5667,150.8,45.86,76,100,3.76,overcast clouds
156,Leh,IN,34.1667,77.5833,53.46,41,28,3.76,scattered clouds
157,Oranjemund,NA,-28.55,16.4333,53.42,92,11,12.53,few clouds
158,Port Hardy,CA,50.6996,-127.4199,51.98,93,75,10.36,light intensity shower rain
159,Nikolskoye,RU,59.7035,30.7861,44.87,95,0,2.93,clear sky
160,Tarifa,ES,36.0139,-5.607,69.75,73,99,3.29,overcast clouds
161,Sabang,ID,5.8933,95.3214,80.46,82,100,16.33,overcast clouds
162,Nouakchott,MR,18.0858,-15.9785,80.53,77,1,9.22,clear sky
163,Suez,EG,29.9737,32.5263,68.74,74,0,6.82,clear sky
164,Saint-Pierre,RE,-21.3393,55.4781,69.44,74,40,5.75,scattered clouds
165,Djambala,CG,-2.5447,14.7533,69.78,86,100,2.68,overcast clouds
166,Zavallya,UA,48.2135,30.0156,48.22,70,53,5.46,broken clouds
167,Harper,LR,4.375,-7.7169,76.17,90,96,6.69,overcast clouds
168,Alofi,NU,-19.0595,-169.9187,80.49,69,75,11.5,broken clouds
169,Klaksvik,FO,62.2266,-6.589,45.52,86,100,11.27,overcast clouds
170,Aquidauana,BR,-20.4711,-55.7872,85.64,36,50,2.91,scattered clouds
171,Waipawa,NZ,-41.4122,175.5153,53.29,61,100,11.81,overcast clouds
172,Natal,BR,-5.795,-35.2094,79.02,83,75,12.66,broken clouds
173,Nizhnyaya Tavda,RU,57.6731,66.1725,37.45,69,100,8.84,overcast clouds
174,Kununurra,AU,-15.7667,128.7333,84.18,61,99,4.61,overcast clouds
175,Port Elizabeth,ZA,-33.918,25.5701,61.11,82,20,20.71,few clouds
176,Chuchkovo,RU,54.2693,41.4465,40.75,93,100,10.8,overcast clouds
177,Alyangula,AU,-13.8483,136.4192,87.67,55,37,6.91,scattered clouds
178,Mtwara,TZ,-10.2667,40.1833,71.83,85,2,4.99,clear sky
179,East London,ZA,-33.0153,27.9116,64.63,76,100,17.76,overcast clouds
180,Quatre Cocos,MU,-20.2078,57.7625,70.09,71,100,15.05,light rain
181,Georgetown,MY,5.4112,100.3354,80.89,87,20,1.01,few clouds
182,Veraval,IN,20.9,70.3667,78.75,87,100,3.85,overcast clouds
183,Suna,RU,57.8338,50.0588,30.69,93,9,7.96,clear sky
184,Howard Springs,AU,-12.497,131.047,89.87,69,33,2.24,scattered clouds
185,Rawson,AR,-43.3002,-65.1023,54.14,39,31,4.43,scattered clouds
186,Mirabad,AF,30.4362,61.8383,70.43,38,0,9.13,clear sky
187,Tazovskiy,RU,67.4667,78.7,33.01,79,96,4.21,overcast clouds
188,Buribay,RU,51.9617,58.1592,34.52,98,100,13.96,light rain
189,Codrington,AU,-38.2667,141.9667,65.37,59,97,5.03,overcast clouds
190,Porto Novo,BJ,6.4965,2.6036,78.62,88,83,3.85,broken clouds
191,Evensk,RU,61.95,159.2333,45.14,44,100,4.21,overcast clouds
192,Lagoa,PT,39.05,-27.9833,68.32,77,56,17.05,broken clouds
193,Cap Malheureux,MU,-19.9842,57.6142,70.47,74,100,5.01,overcast clouds
194,Carnarvon,AU,-24.8667,113.6333,66.27,63,41,12.66,scattered clouds
195,Roebourne,AU,-20.7833,117.1333,78.82,23,92,11.59,overcast clouds
196,Digha,IN,21.6833,87.55,78.57,90,96,10.54,overcast clouds
197,Krasnoselkup,RU,65.7,82.4667,30.67,81,76,8.39,broken clouds
