City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Scottsbluff,US,88.92,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
275,Buckeye,US,87.13,haze,33.3703,-112.5838,Buckeye Motor Hotel
276,Labuhan,ID,81.95,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
277,Basco,PH,84.07,clear sky,20.4487,121.9702,Nathaniel's Lodge
285,Nortelandia,BR,81.41,clear sky,-14.4547,-56.8028,Hotel Karysmã
291,Arinos,BR,80.55,broken clouds,-15.9169,-46.1056,casa do bruno
292,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
295,Sur,OM,83.93,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
299,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
300,Doembang Nangbuat,TH,79.18,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
301,Markala,ML,81.88,clear sky,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
307,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
313,Kudahuvadhoo,MV,82.49,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
316,Tawau,MY,82.53,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
319,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
321,Quiindy,PY,87.04,overcast clouds,-25.9667,-57.2667,Rancho de Rosa Rodriguez Villaverde
326,Akalgarh,IN,79.57,broken clouds,29.8167,75.8833,BUTA SINGH SAINI COTTAGE
328,Namatanai,PG,85.46,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
338,Joao Camara,BR,76.24,scattered clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
344,Champasak,LA,77.88,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
346,Sao Gabriel Da Cachoeira,BR,75.33,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
347,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
348,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
356,Sao Filipe,CV,79.54,few clouds,14.8961,-24.4956,Hotel Xaguate
357,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
358,Tezu,IN,76.41,broken clouds,27.9167,96.1667,Circuit House
361,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
364,Kokopo,PG,84.06,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
365,Tabou,CI,75.27,overcast clouds,4.423,-7.3528,hotêl doufoulougou
369,Sibolga,ID,77.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
373,Rio Claro,BR,75.02,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
374,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
377,Rincon,US,77.86,clear sky,32.296,-81.2354,Days Inn Rincon
379,Ames,US,82.42,clear sky,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
380,Airai,TL,77.05,few clouds,-8.9266,125.4092,Juvinal Martin
385,The Valley,AI,83.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
387,Santa Isabel Do Rio Negro,BR,77.56,scattered clouds,-0.4139,-65.0192,Hotel GSA
388,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
391,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
393,Katherine,AU,88.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
395,Kulhudhuffushi,MV,80.83,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
398,Kavieng,PG,85.19,broken clouds,-2.5744,150.7967,Nusa Island Retreat
400,Reconquista,AR,75.38,clear sky,-29.15,-59.65,Grand Hotel
401,Marsh Harbour,BS,80.24,few clouds,26.5412,-77.0636,Abaco Beach Resort
406,Nichinan,JP,76.68,broken clouds,31.6,131.3667,Guest House Aki
408,Nederland,US,82.44,few clouds,29.9744,-93.9924,"Holiday Inn Express & Suites Port Arthur Central-Mall Area, an IHG Hotel"
411,Half Moon Bay,US,76.5,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
412,Kirakira,SB,82.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
413,Katsuura,JP,76.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
415,Bow Island,CA,78.55,overcast clouds,49.8668,-111.3684,Pleasant View Lodge
417,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
419,Pachino,IT,75.6,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
420,Cockburn Town,TC,83.14,few clouds,21.4612,-71.1419,Osprey Beach Hotel
428,Sungairaya,ID,82.33,broken clouds,0.7,108.9,Mess P.Milu
429,Jarwal,IN,78.64,clear sky,27.1667,81.55,New kisaan fish forming
433,Mayumba,GA,75.43,light rain,-3.432,10.6554,LIKWALE LODGE
439,Umm Lajj,SA,80.76,clear sky,25.0213,37.2685,Moon light Furnished Units
440,Cavalcante,BR,77.85,few clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
441,Cuzama,MX,84.94,scattered clouds,20.7333,-89.3167,"Restaurant Y Hotel ""Santa Maria"""
442,Cairns,AU,84.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
443,Khatima,IN,77.13,clear sky,28.9167,79.9667,Paradise Guest House and Restaurant
444,Tallahassee,US,80.62,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
458,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
459,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
460,Takoradi,GH,76.03,light rain,4.8845,-1.7554,Raybow International Hotel
461,Sapulpa,US,87.51,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
465,Makakilo City,US,89.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
468,Conceicao Do Araguaia,BR,81.16,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
469,Simpang Empat,MY,78.82,overcast clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
471,Varzea Da Palma,BR,81.73,overcast clouds,-17.5981,-44.7308,Casa Fernandes
475,Det Udom,TH,78.62,scattered clouds,14.906,105.0784,Chatsuda Resort
480,Teacapan,MX,81.59,clear sky,22.55,-105.75,Hotel los Mangos
481,Noumea,NC,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
482,Sam Roi Yot,TH,78.78,scattered clouds,12.2708,99.872,SeaBreezeResort Samroiyot
483,Tateyama,JP,76.01,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
486,Samarinda,ID,83.75,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
490,Rock Sound,BS,82.22,overcast clouds,24.9,-76.2,Rock Sound Club
492,Guaruja,BR,80.17,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
503,Road Town,VG,83.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
504,Caramay,PH,84.85,few clouds,10.1815,119.236,Peace and Love Beach Club
