City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2021-09-26 14:23:45,-33.65,115.3333,55.04,93,9,9.89
68,Namatanai,PG,2021-09-26 14:23:46,-3.6667,152.4333,79.59,82,98,5.64
69,Osakarovka,KZ,2021-09-26 14:23:46,50.565,72.5692,45.55,54,78,20.71
70,Tiksi,RU,2021-09-26 14:23:47,71.6872,128.8694,34.56,97,100,16.91
71,Yangambi,CD,2021-09-26 14:23:47,0.8102,24.4336,77.49,77,91,5.68
72,Prince Rupert,CA,2021-09-26 14:23:47,54.3161,-130.3201,49.69,98,90,2.3
73,Ust-Kuyga,RU,2021-09-26 14:23:48,70.0167,135.6,31.32,97,100,9.17
74,Miri,MY,2021-09-26 14:23:48,4.4148,114.0089,80.74,89,40,4.61
75,Abalak,RU,2021-09-26 14:23:48,58.1286,68.5944,35.92,73,15,7.2
76,Punta Arenas,CL,2021-09-26 14:22:32,-53.15,-70.9167,42.91,61,75,12.66
77,Macon,US,2021-09-26 14:23:49,39.8667,-88.9668,66.67,63,1,12.66
78,Hithadhoo,MV,2021-09-26 14:23:35,-0.6,73.0833,82.47,74,64,17.0
79,Port Alfred,ZA,2021-09-26 14:23:49,-33.5906,26.891,67.96,78,18,9.48
80,Codrington,AU,2021-09-26 14:23:50,-38.2667,141.9667,39.97,91,48,8.86
81,Chokurdakh,RU,2021-09-26 14:23:50,70.6333,147.9167,32.4,97,100,19.82
82,Ribeira Grande,PT,2021-09-26 14:23:50,38.5167,-28.7,73.8,73,20,23.02
83,Balikpapan,ID,2021-09-26 14:23:51,-1.2675,116.8289,79.03,84,35,6.46
84,Severo-Kurilsk,RU,2021-09-26 14:23:51,50.6789,156.125,47.3,91,56,10.92
85,Nouadhibou,MR,2021-09-26 14:23:51,20.931,-17.0347,78.78,65,20,16.11
86,Carnarvon,AU,2021-09-26 14:23:52,-24.8667,113.6333,66.27,59,0,11.5
87,Motygino,RU,2021-09-26 14:21:18,58.1831,94.7592,34.61,76,39,6.58
88,Fairbanks,US,2021-09-26 14:23:52,64.8378,-147.7164,30.02,93,96,0.67
89,Quepos,CR,2021-09-26 14:23:53,9.4236,-84.1652,87.53,77,76,0.45
90,San Quintin,MX,2021-09-26 14:23:53,30.4833,-115.95,66.67,80,100,7.87
91,Malaya Vishera,RU,2021-09-26 14:20:22,58.8454,32.2222,51.55,86,69,10.6
92,Saskylakh,RU,2021-09-26 14:23:54,71.9167,114.0833,33.66,98,100,11.21
93,Kokopo,PG,2021-09-26 14:23:54,-4.352,152.2633,77.25,86,100,5.46
94,Santa Helena De Goias,BR,2021-09-26 14:23:54,-17.8136,-50.5969,95.13,22,4,7.96
95,Saint George,US,2021-09-26 14:20:54,37.1041,-113.5841,74.35,46,1,9.22
96,Jamestown,US,2021-09-26 14:21:25,42.097,-79.2353,60.51,10,18,11.21
97,Esperance,AU,2021-09-26 14:23:55,-33.8667,121.9,55.24,83,81,10.83
98,Puerto Colombia,CO,2021-09-26 14:23:55,10.9878,-74.9547,86.09,71,39,5.3
99,Kongolo,CD,2021-09-26 14:23:56,-5.3833,27.0,84.4,47,100,9.91
100,Fare,PF,2021-09-26 14:23:56,-16.7,-151.0167,78.62,78,6,14.81
101,Broome,US,2021-09-26 14:23:57,42.2506,-75.833,61.2,71,20,1.99
102,Kisangani,CD,2021-09-26 14:23:57,0.5167,25.2,72.66,84,99,3.44
103,Khatanga,RU,2021-09-26 14:23:57,71.9667,102.5,33.3,84,100,8.14
104,Georgetown,MY,2021-09-26 14:23:58,5.4112,100.3354,77.9,94,40,4.61
105,Seguin,US,2021-09-26 14:21:32,29.5688,-97.9647,73.72,76,1,3.44
106,Roald,NO,2021-09-26 14:23:58,62.5833,6.1333,72.16,55,0,6.91
107,Narsaq,GL,2021-09-26 14:23:59,60.9167,-46.05,37.62,36,0,4.7
108,Lingao,CN,2021-09-26 14:23:59,19.9103,109.6859,78.94,88,0,10.45
109,Sakaiminato,JP,2021-09-26 14:23:59,35.55,133.2333,73.38,78,75,11.5
110,Necochea,AR,2021-09-26 14:24:00,-38.5473,-58.7368,56.03,69,1,19.71
111,Isangel,VU,2021-09-26 14:24:00,-19.55,169.2667,69.12,79,9,6.96
112,Port Hedland,AU,2021-09-26 14:24:00,-20.3167,118.5667,73.45,73,4,11.5
113,New Norfolk,AU,2021-09-26 14:24:01,-42.7826,147.0587,42.71,69,9,2.8
114,Kapaa,US,2021-09-26 14:24:01,22.0752,-159.319,77.32,83,40,3.0
115,Kodiak,US,2021-09-26 14:22:59,57.79,-152.4072,38.23,94,100,8.99
116,Hay River,CA,2021-09-26 14:24:02,60.8156,-115.7999,33.78,100,40,0.0
117,Madimba,TZ,2021-09-26 14:24:02,-10.4,40.3333,80.65,62,7,11.27
118,Rawson,AR,2021-09-26 14:24:02,-43.3002,-65.1023,52.74,37,4,17.02
119,Sitka,US,2021-09-26 14:24:03,57.0531,-135.33,42.69,87,75,0.0
120,Aswan,EG,2021-09-26 14:24:03,24.0934,32.907,99.7,15,0,9.22
121,Constanza,DE,2021-09-26 14:24:04,47.6603,9.1758,69.89,98,100,4.12
122,Saldanha,ZA,2021-09-26 14:24:04,-33.0117,17.9442,77.05,78,6,15.95
123,Kushiro,JP,2021-09-26 14:24:04,42.975,144.3747,55.9,88,100,4.61
124,Nhulunbuy,AU,2021-09-26 14:24:05,-12.2333,136.7667,77.61,88,56,6.91
125,Hailey,US,2021-09-26 14:24:05,43.5196,-114.3153,46.26,53,1,10.36
126,Owerri,NG,2021-09-26 14:24:05,5.4833,7.0304,75.61,93,100,3.53
127,Usinsk,RU,2021-09-26 14:24:06,65.9939,57.5281,41.54,61,100,7.36
128,Mikhaylovka,RU,2021-09-26 14:24:06,50.06,43.2379,56.71,65,24,17.56
129,Fort Frances,CA,2021-09-26 14:24:06,48.5999,-93.4003,56.16,77,90,0.0
130,Bambous Virieux,MU,2021-09-26 14:24:07,-20.3428,57.7575,71.85,88,75,10.36
131,Nioro,GM,2021-09-26 14:24:07,13.35,-15.75,92.26,58,94,1.7
132,Port Keats,AU,2021-09-26 14:24:08,-14.25,129.55,77.04,82,60,4.21
133,Bengkulu,ID,2021-09-26 14:24:08,-3.8004,102.2655,75.78,89,100,2.66
134,Porto Novo,BJ,2021-09-26 14:24:08,6.4965,2.6036,85.82,64,73,10.42
135,Luganville,VU,2021-09-26 14:24:09,-15.5333,167.1667,75.52,87,93,9.17
136,Cabedelo,BR,2021-09-26 14:21:20,-6.9811,-34.8339,83.07,72,75,18.95
137,Casablanca,MA,2021-09-26 14:21:04,33.5928,-7.6192,84.42,61,0,18.99
138,Constitucion,CL,2021-09-26 14:24:09,-35.3333,-72.4167,55.96,62,100,8.48
139,Maceio,BR,2021-09-26 14:20:49,-9.6658,-35.7353,85.44,65,75,16.11
140,Port Moresby,PG,2021-09-26 14:21:32,-9.4431,147.1797,78.22,89,90,9.22
141,Hasaki,JP,2021-09-26 14:24:10,35.7333,140.8333,66.6,63,90,11.5
142,Kaitangata,NZ,2021-09-26 14:24:10,-46.2817,169.8464,34.2,91,19,5.21
143,Santa Luzia,BR,2021-09-26 14:24:11,-19.7697,-43.8514,81.68,44,0,4.61
144,Naberera,TZ,2021-09-26 14:24:11,-4.2,36.9333,77.16,31,97,12.88
145,Cherskiy,RU,2021-09-26 14:24:12,68.75,161.3,31.33,98,100,15.23
146,Kjollefjord,NO,2021-09-26 14:24:12,70.9457,27.3465,48.9,71,100,16.62
147,Iqaluit,CA,2021-09-26 14:24:12,63.7506,-68.5145,35.33,87,75,11.01
148,Cootamundra,AU,2021-09-26 14:24:13,-34.65,148.0333,44.94,83,0,13.02
149,Pacific Grove,US,2021-09-26 14:24:13,36.6177,-121.9166,59.76,88,82,1.01
150,Mehamn,NO,2021-09-26 14:24:14,71.0357,27.8492,48.7,71,100,12.03
151,Ayacucho,PE,2021-09-26 14:24:14,-13.1583,-74.2239,62.46,42,20,3.44
152,Bulgan,MN,2021-09-26 14:24:15,48.8125,103.5347,37.87,51,81,0.18
153,Bathsheba,BB,2021-09-26 14:24:15,13.2167,-59.5167,88.41,70,40,10.36
154,Tuktoyaktuk,CA,2021-09-26 14:24:15,69.4541,-133.0374,33.8,86,90,14.97
155,Varena,LT,2021-09-26 14:24:16,54.2167,24.5667,61.48,52,38,6.53
156,Provideniya,RU,2021-09-26 14:24:16,64.3833,-173.3,32.07,84,100,6.22
