City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Lake Havasu City,US,34.4839,-114.3224,93.81,31,1,1.99,clear sky
83,Gondar,ET,12.6,37.4667,57.63,66,90,4.0,overcast clouds
84,Mahebourg,MU,-20.4081,57.7,70.25,73,40,11.5,light rain
85,Uromi,NG,6.7,6.3333,68.41,99,62,3.22,broken clouds
86,Nanortalik,GL,60.1432,-45.2371,34.63,68,0,2.26,clear sky
87,Laguna,US,38.421,-121.4238,82.76,57,1,8.01,clear sky
88,Qaanaaq,GL,77.484,-69.3632,23.95,65,100,6.85,overcast clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,64,40,11.5,scattered clouds
90,Srednekolymsk,RU,67.45,153.6833,27.09,57,79,14.79,broken clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,49.12,69,70,3.0,broken clouds
92,Avera,US,33.194,-82.5271,73.71,58,0,4.99,clear sky
93,Mbandaka,CD,0.0487,18.2603,68.72,96,64,1.45,broken clouds
94,Surin,TH,14.8818,103.4936,77.38,91,68,4.18,broken clouds
95,Kodinsk,RU,58.6881,99.1844,34.2,98,100,6.08,light rain
96,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
97,Mount Isa,AU,-20.7333,139.5,89.37,12,62,10.36,broken clouds
98,Smithers,CA,54.7804,-127.1743,53.92,66,75,3.44,broken clouds
99,Hamilton,US,39.1834,-84.5333,77.77,64,20,1.01,few clouds
100,Muisne,EC,0.6,-80.0333,74.89,85,89,9.06,overcast clouds
101,Ancud,CL,-41.8697,-73.8203,49.53,86,77,3.51,broken clouds
102,Ust-Maya,RU,60.4167,134.5333,39.22,89,100,7.61,moderate rain
103,Isangel,VU,-19.55,169.2667,82.51,65,40,9.22,scattered clouds
104,Klyuchi,RU,52.2667,79.1667,36.61,71,100,8.21,overcast clouds
105,Cherskiy,RU,68.75,161.3,21.54,93,100,14.92,light snow
106,Penzance,GB,50.1186,-5.5371,57.88,78,72,20.15,broken clouds
107,Tabou,CI,4.423,-7.3528,75.54,91,99,6.82,overcast clouds
108,Nago,JP,26.5881,127.9761,84.63,74,11,13.98,few clouds
109,Kaeo,NZ,-35.1,173.7833,63.32,53,20,10.47,few clouds
110,Taoudenni,ML,22.6783,-3.9836,94.23,8,29,9.33,scattered clouds
111,Botwood,CA,49.1499,-55.3482,57.9,91,57,9.71,broken clouds
112,Ixtapa,MX,20.7,-105.2,84.22,82,87,1.01,overcast clouds
113,Sokoni,TZ,-6.4333,39.55,76.41,78,4,12.3,clear sky
114,Wajir,KE,1.7471,40.0573,75.09,65,73,15.48,broken clouds
115,Solnechnyy,RU,50.7214,136.6319,62.28,68,23,2.06,few clouds
116,Mirnyy,RU,62.5353,113.9611,33.64,78,97,12.37,overcast clouds
117,Puerto Ayacucho,VE,5.6639,-67.6236,77.14,88,91,3.98,overcast clouds
118,Kulhudhuffushi,MV,6.6221,73.07,81.36,75,100,17.69,overcast clouds
119,Geraldton,AU,-28.7667,114.6,57.61,88,6,8.05,clear sky
120,Avarua,CK,-21.2078,-159.775,80.65,74,40,10.36,scattered clouds
121,Buloh Kasap,MY,2.5536,102.764,75.11,93,87,1.34,overcast clouds
122,Sadiqabad,PK,28.3062,70.1307,87.49,54,0,4.83,clear sky
123,Albert Lea,US,43.648,-93.3683,73.42,49,1,3.44,clear sky
124,La Ronge,CA,55.1001,-105.2842,61.02,72,20,6.91,few clouds
125,Sola,VU,-13.8833,167.55,84.87,74,75,8.05,broken clouds
126,Faya,SA,18.3851,42.4509,62.71,23,70,5.14,broken clouds
127,Mao,ES,39.8885,4.2658,66.76,94,0,5.75,clear sky
128,Ayorou,NE,14.7308,0.9174,92.68,16,5,8.23,clear sky
129,Natal,BR,-5.795,-35.2094,76.8,83,52,14.0,broken clouds
130,Puerto Leguizamo,CO,-0.1934,-74.7819,76.33,78,78,2.42,heavy intensity rain
131,Maniitsoq,GL,65.4167,-52.9,34.52,45,0,7.18,clear sky
132,Butaritari,KI,3.0707,172.7902,83.84,75,27,19.15,scattered clouds
133,Kralendijk,BQ,12.15,-68.2667,84.18,79,75,10.36,broken clouds
134,Batemans Bay,AU,-35.7167,150.1833,67.1,43,23,6.6,few clouds
135,Maceio,BR,-9.6658,-35.7353,80.04,78,75,10.36,broken clouds
136,Along,IN,28.1667,94.7667,71.31,95,89,1.81,overcast clouds
137,Dingle,PH,10.9995,122.6711,80.67,82,77,2.17,broken clouds
138,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,78,90,13.78,overcast clouds
139,Severnoye,RU,56.3491,78.3619,33.1,95,71,5.88,broken clouds
140,Abdanan,IR,32.9926,47.4198,69.6,18,0,1.7,clear sky
141,Katsuura,JP,35.1333,140.3,76.1,72,97,14.38,overcast clouds
142,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,6.91,clear sky
143,Touros,BR,-5.1989,-35.4608,77.9,84,32,16.98,scattered clouds
144,La Asuncion,VE,11.0333,-63.8628,80.69,83,11,5.28,few clouds
145,Bredasdorp,ZA,-34.5322,20.0403,46.27,90,3,6.64,clear sky
146,Bubaque,GW,11.2833,-15.8333,83.21,79,100,12.44,light rain
147,Vardo,NO,70.3705,31.1107,48.54,90,74,14.94,broken clouds
148,Mongoumba,CF,3.6415,18.5936,70.32,96,98,2.77,light rain
149,Warrnambool,AU,-38.3833,142.4833,60.82,63,97,11.07,overcast clouds
150,Sinop,TR,41.7711,34.8709,51.24,84,2,3.78,clear sky
151,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,45,0,10.36,clear sky
152,Mount Gambier,AU,-37.8333,140.7667,63.07,51,87,8.63,light rain
153,Ankazobe,MG,-18.3167,47.1167,54.01,80,0,5.48,clear sky
154,San Cristobal,VE,7.7669,-72.225,66.78,95,71,3.44,broken clouds
155,Broome,US,42.2506,-75.833,68.58,63,40,3.0,scattered clouds
156,Artesianon,GR,39.4028,21.8947,75.22,51,49,0.65,scattered clouds
157,Zachepylivka,UA,49.1939,35.2394,48.85,78,84,7.78,broken clouds
158,Aberdeen,GB,57.1437,-2.0981,46.2,89,17,6.91,few clouds
159,Souillac,MU,-20.5167,57.5167,70.36,73,40,11.5,scattered clouds
160,Margate,GB,51.3813,1.3862,55.31,80,3,1.01,clear sky
161,Lucea,JM,18.451,-78.1736,84.06,78,13,9.17,few clouds
162,Knysna,ZA,-34.0363,23.0471,55.78,84,99,6.22,overcast clouds
163,Pietarsaari,FI,63.65,22.6833,46.89,92,58,8.86,broken clouds
164,Norman Wells,CA,65.282,-126.8329,33.84,93,90,2.3,light rain
